entrez	symbol	pubmed_id	type	primary_site	cancer_type	method
6626	SNRPA	21499247	WES	skin	melanoma	Paper-specific
6646	SOAT1	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
6651	SON	22156295	WES	pancreas	pancreatic_ductal_adenocarcinoma	Recurrence-based
6654	SOS1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6654	SOS1	27348297	WES	uterus	endometrial_cancer	MutSig
6654	SOS1	24390350	WES	multiple	pan-cancer_adult	MutSig
6657	SOX2	14993899	"Known Cancer"	multiple	-	-
6660	SOX5	22156295	WES	pancreas	pancreatic_ductal_adenocarcinoma	Recurrence-based
6662	SOX9	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6662	SOX9	22810696	WES	colorectal	colorectal_adenocarcinoma	MutSig
6662	SOX9	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
6662	SOX9	26804919	WES	small_intestine	ampullary_adenocarcinoma	MutSig
6662	SOX9	24132290	WES	multiple	pan-cancer_adult	MuSiC
6662	SOX9	23539594	"Known Cancer"	multiple	-	-
6662	SOX9	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
6693	SPN	28988769	WES	bladder	bladder_cancer	MutSig
6701	SPRR2B	22037554	WES	stomach	gastric_adenocarcinoma	Wood-based
6708	SPTA1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6708	SPTA1	24120142	WES	brain	glioblastoma	"InVEx, MutSig"
6708	SPTA1	23636398	WES	uterus	endometrial_cancer	MuSiC
6708	SPTA1	26121086	WES	brain	neuroblastoma	Recurrence-based
6708	SPTA1	24896186	WES	brain	intracranial_germ_cell	Recurrence-based
6708	SPTA1	24816253	WGS	stomach	gastric_adenocarcinoma	Youn-based
6708	SPTA1	25855536	WES	pancreas	pancreatic_ductal_adenocarcinoma	MutSig
6708	SPTA1	22484628	WES	stomach	gastric_adenocarcinoma	Recurrence-based
6709	SPTAN1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6709	SPTAN1	28988769	WES	bladder	bladder_cancer	MutSig
6710	SPTB	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
6712	SPTBN2	25501392	WES	multiple	pan-cancer_adult	HOTNET2
6714	SRC	14993899	"Known Cancer"	multiple	-	-
6738	TROVE2	26451490	WES	breast	breast_cancer	MutSig
6741	SSB	21499247	WES	skin	melanoma	Paper-specific
6756	SSX1	14993899	"Known Cancer"	multiple	-	-
6757	SSX2	14993899	"Known Cancer"	multiple	-	-
6759	SSX4	14993899	"Known Cancer"	multiple	-	-
6760	SS18	14993899	"Known Cancer"	multiple	-	-
6774	STAT3	24700472	WES	adrenal_gland	adrenocortical_adenoma	"MutSig, Recurrence-based"
6774	STAT3	14993899	"Known Cancer"	multiple	-	-
6774	STAT3	26192917	"WES-gene panel"	blood	natural_killer/T_cell_lymphoma	MuSiC
6774	STAT3	26437031	"WGS-WES-Gene panel"	blood	T-cell_leukemia/lymphoma	MutSig
6774	STAT3	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
6774	STAT3	24362818	WGS-WES	blood	follicular_lymphoma	Recurrence-based
6775	STAT4	21499247	WES	skin	melanoma	Paper-specific
6777	STAT5B	26192916	WGS-WES	blood	cutaneous_T_cell_lymphoma	MuSiC
6777	STAT5B	14993899	"Known Cancer"	multiple	-	-
6777	STAT5B	26192917	"WES-gene panel"	blood	natural_killer/T_cell_lymphoma	MuSiC
6777	STAT5B	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
6778	STAT6	14993899	"Known Cancer"	multiple	-	-
6778	STAT6	28064239	WES	blood	follicular_lymphoma	MuSiC
6778	STAT6	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
6778	STAT6	24362818	WGS-WES	blood	follicular_lymphoma	Recurrence-based
6781	STC1	21499247	WES	skin	melanoma	Paper-specific
6786	STIM1	27158780	WES	lung	lung_cancer_(all_histologies)	MutSig
6790	AURKA	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
6794	STK11	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6794	STK11	27158780	WES	lung	lung_cancer_(all_histologies)	MutSig
6794	STK11	25079552	WES	lung	lung_adenocarcinoma	MutSig
6794	STK11	18948947	"Gene panel"	lung	lung_adenocarcinoma	MuSiC
6794	STK11	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
6794	STK11	14993899	"Known Cancer"	multiple	-	-
6794	STK11	22980975	WES	lung	lung_adenocarcinoma	InVEx
6794	STK11	27687306	WES	lung	lung_adenocarcinoma	InVEx
6794	STK11	24132290	WES	multiple	pan-cancer_adult	MuSiC
6794	STK11	24390350	WES	multiple	pan-cancer_adult	MutSig
6794	STK11	25501392	WES	multiple	pan-cancer_adult	HOTNET2
6794	STK11	22327622	"Gene panel"	lung	non-small_cell_lung_cancer	Recurrence-based
6794	STK11	27135926	WGS	breast	breast_cancer	Paper-specific
6794	STK11	24390348	WES	cervix	cervical_cancer_(all_histologies)	MutSig
6794	STK11	22722201	WES	breast	breast_cancer	Greenman-based
6794	STK11	23539594	"Known Cancer"	multiple	-	-
6794	STK11	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
6794	STK11	25301631	WES	lung	lung_adenocarcinoma	Literature-based
6801	STRN	14993899	"Known Cancer"	multiple	-	-
6850	SYK	20601955	"Gene panel"	soft_tissue	soft_tissue_sarcoma	Recurrence-based
6850	SYK	14993899	"Known Cancer"	multiple	-	-
6850	SYK	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
6850	SYK	24755198	"WES-gene panel"	skin	melanoma	Recurrence-based
6854	SYN2	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
6860	SYT4	21499247	WES	skin	melanoma	Paper-specific
6867	TACC1	22817889	WES	skin	melanoma	InVEx
6872	TAF1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6872	TAF1	23636398	WES	uterus	endometrial_cancer	MuSiC
6872	TAF1	24132290	WES	multiple	pan-cancer_adult	MuSiC
6872	TAF1	28485815	WES	uterus	clear_cell_endometrial_cancer	Recurrence-based
6882	TAF11	28988769	WES	bladder	bladder_cancer	MutSig
6886	TAL1	14993899	"Known Cancer"	multiple	-	-
6886	TAL1	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
6887	TAL2	14993899	"Known Cancer"	multiple	-	-
6887	TAL2	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
6890	TAP1	24390350	WES	multiple	pan-cancer_adult	MutSig
6908	TBP	26790612	WES	head_and_neck	squamous_head_and_neck_cancer	MuSiC
6917	TCEA1	14993899	"Known Cancer"	multiple	-	-
6921	ELOC	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6921	ELOC	23792563	WES	kidney	clear_cell_renal_cancer	MutSig
6921	ELOC	26947078	WES	kidney	renal_cancer_(all_histologies)	"MutSig, Literature-based"
6921	ELOC	24390350	WES	multiple	pan-cancer_adult	MutSig
6926	TBX3	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6926	TBX3	23000897	WES	breast	breast_cancer	MuSiC
6926	TBX3	26451490	WES	breast	breast_cancer	MutSig
6926	TBX3	14993899	"Known Cancer"	multiple	-	-
6926	TBX3	24132290	WES	multiple	pan-cancer_adult	MuSiC
6926	TBX3	24390350	WES	multiple	pan-cancer_adult	MutSig
6926	TBX3	27135926	WGS	breast	breast_cancer	Paper-specific
6926	TBX3	27161491	"Gene panel"	breast	breast_cancer	Recurrence-based
6926	TBX3	22722201	WES	breast	breast_cancer	Greenman-based
6926	TBX3	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
6927	HNF1A	14993899	"Known Cancer"	multiple	-	-
6927	HNF1A	22561517	WES	hepatobiliary	hepatocellular_carcinoma	Recurrence-based
6927	HNF1A	23539594	"Known Cancer"	multiple	-	-
6928	HNF1B	21804550	WES	blood	diffuse_large_B-cell_lymphoma	Paper-specific
6929	TCF3	14993899	"Known Cancer"	multiple	-	-
6929	TCF3	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
6929	TCF3	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
6932	TCF7	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
6932	TCF7	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
6934	TCF7L2	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6934	TCF7L2	22810696	WES	colorectal	colorectal_adenocarcinoma	MutSig
6934	TCF7L2	14993899	"Known Cancer"	multiple	-	-
6934	TCF7L2	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
6934	TCF7L2	24390350	WES	multiple	pan-cancer_adult	MutSig
6934	TCF7L2	22895193	WES	colorectal	colorectal_adenocarcinoma	Wood-based
6935	ZEB1	26192916	WGS-WES	blood	cutaneous_T_cell_lymphoma	MuSiC
6935	ZEB1	14993899	"Known Cancer"	multiple	-	-
6935	ZEB1	26437031	"WGS-WES-Gene panel"	blood	T-cell_leukemia/lymphoma	MutSig
6935	ZEB1	28352668	"WES-gene panel"	parathyroid_gland	parathyroid_carcinoma	"Recurrence-based, Literature-based"
6935	ZEB1	27058444	WGS-WES	esophagus	esophageal_squamous_carcinoma	MutSig
6938	TCF12	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
6938	TCF12	26061751	WES	brain	low_grade_glioma	MutSig
6938	TCF12	26824661	WGS-WES	brain	pan-glioma	MutSig
6938	TCF12	14993899	"Known Cancer"	multiple	-	-
6954	TCP11	26451490	WES	breast	breast_cancer	MutSig
6996	TDG	20668451	"Gene panel"	lung	lung_cancer_(all_histologies)	Wood-based
7006	TEC	14993899	"Known Cancer"	multiple	-	-
7006	TEC	26258847	"WES-gene panel"	blood	cutaneous_T_cell_lymphoma	Recurrence-based
7011	TEP1	25501392	WES	multiple	pan-cancer_adult	HOTNET2
7015	TERT	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
7015	TERT	27064257	WGS	hepatobiliary	pan-liver	Paper-specific
7015	TERT	14993899	"Known Cancer"	multiple	-	-
7015	TERT	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
7015	TERT	26343386	"WGS-WES-Gene panel"	skin	desmoplastic_melanoma	"Recurrence-based, Literature-based"
7015	TERT	25362482	WES	hepatobiliary	hepatocellular_carcinoma	MutSig
7023	TFAP4	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
7027	TFDP1	27087322	WGS	prostate	prostate_cancer	Recurrence-based
7027	TFDP1	23583981	WGS-WES	brain	paediatric_low_grade_glioma	"MuSiC, Paper-specific"
7030	TFE3	14993899	"Known Cancer"	multiple	-	-
7037	TFRC	14993899	"Known Cancer"	multiple	-	-
7038	TG	27236916	"WES-gene panel"	thyroid	papillary_thyroid_cancer	Recurrence-based
7039	TGFA	26824661	WGS-WES	brain	pan-glioma	MutSig
7046	TGFBR1	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
7046	TGFBR1	28522256	WES	stomach	diffuse_gastric_adenocarcinoma	MutSig
7046	TGFBR1	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
7048	TGFBR2	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
7048	TGFBR2	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
7048	TGFBR2	23103869	WES	pancreas	pancreatic_ductal_adenocarcinoma	MuSiC
7048	TGFBR2	22810696	WES	colorectal	colorectal_adenocarcinoma	MutSig
7048	TGFBR2	25631445	WES	head_and_neck	squamous_head_and_neck_cancer	MutSig
7048	TGFBR2	28548104	WGS	esophagus	esophageal_squamous_carcinoma	MutSig
7048	TGFBR2	14993899	"Known Cancer"	multiple	-	-
7048	TGFBR2	26804919	WES	small_intestine	ampullary_adenocarcinoma	MutSig
7048	TGFBR2	18772397	WES	pancreas	pancreatic_ductal_adenocarcinoma	Wood-based
7048	TGFBR2	24132290	WES	multiple	pan-cancer_adult	MuSiC
7048	TGFBR2	24390350	WES	multiple	pan-cancer_adult	MutSig
7048	TGFBR2	26154128	"WES-gene panel"	pancreas	pancreatic_ductal_adenocarcinoma	Recurrence-based
7048	TGFBR2	28112728	WGS	cervix	cervical_cancer_(all_histologies)	MutSig
7048	TGFBR2	28810144	"WES plus targeted deep resequencing"	pancreas	pancreatic_ductal_adenocarcinoma	MutSig
7048	TGFBR2	28052061	WGS-WES	esophagus	esophageal_(squamous_and_adenocarcinoma)	MutSig
7048	TGFBR2	24816253	WGS	stomach	gastric_adenocarcinoma	Youn-based
7048	TGFBR2	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
7048	TGFBR2	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
7049	TGFBR3	28452984	WES	blood	chronic_myeloid_leukemia	"Recurrence-based, Literature-based"
7050	TGIF1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
7050	TGIF1	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
7051	TGM1	27325650	WES	penis	penile_squamous_cancer	"IntOGen, Literature-based"
7057	THBS1	24816253	WGS	stomach	gastric_adenocarcinoma	Youn-based
7058	THBS2	28551381	"WES-gene panel"	colorectal	colorectal_adenocarcinoma	Recurrence-based
7062	TCHH	24120142	WES	brain	glioblastoma	"InVEx, MutSig"
7080	NKX2-1	14993899	"Known Cancer"	multiple	-	-
7080	NKX2-1	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
7088	TLE1	28452984	WES	blood	chronic_myeloid_leukemia	"Recurrence-based, Literature-based"
7091	TLE4	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
7091	TLE4	21339757	WES	blood	acute_myeloid_leukemia	Recurrence-based
7092	TLL1	23525077	WGS-WES	esophagus	esophageal_adenocarcinoma	MutSig
7093	TLL2	21804550	WES	blood	diffuse_large_B-cell_lymphoma	Paper-specific
7097	TLR2	28531216	WGS	esophagus	esophageal_adenocarcinoma	Pathscan
7097	TLR2	22158541	WES	blood	chronic_lymphocytic_leukemia	Recurrence-based
7099	TLR4	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
7099	TLR4	23525077	WGS-WES	esophagus	esophageal_adenocarcinoma	MutSig
7099	TLR4	28531216	WGS	esophagus	esophageal_adenocarcinoma	Pathscan
7099	TLR4	20668451	"Gene panel"	lung	lung_cancer_(all_histologies)	Wood-based
7099	TLR4	24132290	WES	multiple	pan-cancer_adult	MuSiC
7099	TLR4	22842228	WES	skin	melanoma	MuSiC
7099	TLR4	26503331	"WES-gene panel"	lung	lung_squamous_cell_carcinoma	MutSig
7099	TLR4	24952744	WGS	esophagus	esophageal_adenocarcinoma	Recurrence-based
7100	TLR5	28531216	WGS	esophagus	esophageal_adenocarcinoma	Pathscan
7113	TMPRSS2	22981675	"Gene panel"	prostate	prostate_cancer	Recurrence-based
7113	TMPRSS2	27087322	WGS	prostate	prostate_cancer	Recurrence-based
7113	TMPRSS2	14993899	"Known Cancer"	multiple	-	-
7114	TMSB4X	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
7114	TMSB4X	26608593	WES	blood	diffuse_large_B-cell_lymphoma	MuSiC
7114	TMSB4X	28479318	"WES-gene panel"	blood	cutaneous_DLBCL	MuSiC
7124	TNF	24390350	WES	multiple	pan-cancer_adult	MutSig
7124	TNF	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
7128	TNFAIP3	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
7128	TNFAIP3	14993899	"Known Cancer"	multiple	-	-
7128	TNFAIP3	26437031	"WGS-WES-Gene panel"	blood	T-cell_leukemia/lymphoma	MutSig
7128	TNFAIP3	24362818	WGS-WES	blood	follicular_lymphoma	Recurrence-based
7128	TNFAIP3	21804550	WES	blood	diffuse_large_B-cell_lymphoma	Paper-specific
7128	TNFAIP3	23539594	"Known Cancer"	multiple	-	-
7128	TNFAIP3	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
7130	TNFAIP6	23636398	WES	uterus	endometrial_cancer	MuSiC
7133	TNFRSF1B	26258847	"WES-gene panel"	blood	cutaneous_T_cell_lymphoma	Recurrence-based
7143	TNR	18772397	WES	pancreas	pancreatic_ductal_adenocarcinoma	Wood-based
7150	TOP1	14993899	"Known Cancer"	multiple	-	-
7157	TP53	21798897	WES	head_and_neck	squamous_head_and_neck_cancer	Recurrence-based
7157	TP53	22877736	WES	esophagus	esophageal_(squamous_and_adenocarcinoma)	Recurrence-based
7157	TP53	26934577	WES	head_and_neck	oral_squamous_cell_carcinoma	"OncodriveFM, Youn-based"
7157	TP53	25730765	WGS	blood	acute_lymphocytic_leukemia	Recurrence-based
7157	TP53	24747642	WES	adrenal_gland	adrenocortical_carcinoma	MutSig
7157	TP53	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
7157	TP53	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
7157	TP53	22722202	WES	breast	breast_cancer	MutSig
7157	TP53	22610119	WES	prostate	prostate_cancer	MutSig
7157	TP53	20601955	"Gene panel"	soft_tissue	soft_tissue_sarcoma	Recurrence-based
7157	TP53	21892161	WGS	colorectal	colorectal_adenocarcinoma	MutSig
7157	TP53	24633157	"WGS-WES-Gene panel"	soft_tissue	angiosarcoma	Greenman-based
7157	TP53	22981675	"Gene panel"	prostate	prostate_cancer	Recurrence-based
7157	TP53	23103869	WES	pancreas	pancreatic_ductal_adenocarcinoma	MuSiC
7157	TP53	26950094	"WES-gene panel"	skin	skin_basal_cell_carcinoma	"MutSig, TumOnc"
7157	TP53	25010205	"WGS-Gene panel"	bone	Ewing_sarcoma	Recurrence-based
7157	TP53	24705254	WGS-WES	brain	diffuse_intrinsic_pontine_glioma	Recurrence-based
7157	TP53	26928227	"WGS-WES-Gene panel"	pleura	malignant_pleural_mesothelioma	MuSiC
7157	TP53	27158780	WES	lung	lung_cancer_(all_histologies)	MutSig
7157	TP53	18772890	"Gene panel"	brain	glioblastoma	Wood-based
7157	TP53	21720365	WES	ovary	ovarian_cancer	"MutSig, MuSiC"
7157	TP53	22810696	WES	colorectal	colorectal_adenocarcinoma	MutSig
7157	TP53	22960745	WES	lung	lung_squamous_cell_carcinoma	MutSig
7157	TP53	23000897	WES	breast	breast_cancer	MuSiC
7157	TP53	23634996	WGS-WES	blood	acute_myeloid_leukemia	MuSiC
7157	TP53	24120142	WES	brain	glioblastoma	"InVEx, MutSig"
7157	TP53	23792563	WES	kidney	clear_cell_renal_cancer	MutSig
7157	TP53	23636398	WES	uterus	endometrial_cancer	MuSiC
7157	TP53	25155756	WES	kidney	chromophobe_renal_cell_carcinoma	MutSig
7157	TP53	25079317	WES	stomach	gastric_adenocarcinoma	MutSig
7157	TP53	24476821	WES	bladder	bladder_cancer	MutSig
7157	TP53	25079552	WES	lung	lung_adenocarcinoma	MutSig
7157	TP53	26091043	WES	skin	melanoma	"InVEx, MutSig"
7157	TP53	25631445	WES	head_and_neck	squamous_head_and_neck_cancer	MutSig
7157	TP53	26061751	WES	brain	low_grade_glioma	MutSig
7157	TP53	26824661	WGS-WES	brain	pan-glioma	MutSig
7157	TP53	24185513	WES	hepatobiliary	cholangiocarcinoma	Recurrence-based
7157	TP53	28548104	WGS	esophagus	esophageal_squamous_carcinoma	MutSig
7157	TP53	21430775	WGS-WES	blood	multiple_myeloma	MutSig
7157	TP53	26947078	WES	kidney	renal_cancer_(all_histologies)	"MutSig, Literature-based"
7157	TP53	28292439	WES	uterus	uterine_carcinosarcoma	MutSig
7157	TP53	28522256	WES	stomach	diffuse_gastric_adenocarcinoma	MutSig
7157	TP53	26192916	WGS-WES	blood	cutaneous_T_cell_lymphoma	MuSiC
7157	TP53	28256603	"WES plus targeted deep resequencing"	head_and_neck	nasopharyngeal_carcinoma	"Literature-based, Paper-specific"
7157	TP53	26451490	WES	breast	breast_cancer	MutSig
7157	TP53	18948947	"Gene panel"	lung	lung_adenocarcinoma	MuSiC
7157	TP53	23525077	WGS-WES	esophagus	esophageal_adenocarcinoma	MutSig
7157	TP53	25401301	WES	kidney	non-clear_cell_renal_cancer	Wood-based
7157	TP53	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
7157	TP53	27325650	WES	penis	penile_squamous_cancer	"IntOGen, Literature-based"
7157	TP53	24705250	WES	brain	astrocytoma	Recurrence-based
7157	TP53	22634756	WGS	hepatobiliary	hepatocellular_carcinoma	Paper-specific
7157	TP53	27064257	WGS	hepatobiliary	pan-liver	Paper-specific
7157	TP53	14993899	"Known Cancer"	multiple	-	-
7157	TP53	25151357	WES	esophagus	esophageal_squamous_carcinoma	MutSig
7157	TP53	26168399	WGS	lung	small_cell_lung_cancer	Paper-specific
7157	TP53	24487277	WES	kidney	clear_cell_renal_cancer	Literature-based
7157	TP53	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
7157	TP53	27348297	WES	uterus	endometrial_cancer	MutSig
7157	TP53	26804919	WES	small_intestine	ampullary_adenocarcinoma	MutSig
7157	TP53	22980976	WGS	lung	non-small_cell_lung_cancer	MuSiC
7157	TP53	22722839	WES	prostate	prostate_cancer	Paper-specific
7157	TP53	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
7157	TP53	21822268	WES	bladder	bladder_cancer	"Wood-based, Recurrence-based"
7157	TP53	22561517	WES	hepatobiliary	hepatocellular_carcinoma	Recurrence-based
7157	TP53	22138691	WES	kidney	clear_cell_renal_cancer	Wood-based
7157	TP53	24121792	WES	bladder	bladder_cancer	Wood-based
7157	TP53	22817889	WES	skin	melanoma	InVEx
7157	TP53	23334668	WGS-WES	blood	acute_lymphocytic_leukemia	Recurrence-based
7157	TP53	22922871	WES	hepatobiliary	hepatocellular_carcinoma	Paper-specific
7157	TP53	26790612	WES	head_and_neck	squamous_head_and_neck_cancer	MuSiC
7157	TP53	22980975	WES	lung	lung_adenocarcinoma	InVEx
7157	TP53	26192917	"WES-gene panel"	blood	natural_killer/T_cell_lymphoma	MuSiC
7157	TP53	24336570	WES	brain	low_grade_glioma	Recurrence-based
7157	TP53	18772397	WES	pancreas	pancreatic_ductal_adenocarcinoma	Wood-based
7157	TP53	22832583	WGS-WES	brain	medulloblastoma	MutSig
7157	TP53	27687306	WES	lung	lung_adenocarcinoma	InVEx
7157	TP53	20668451	"Gene panel"	breast	breast_cancer	Wood-based
7157	TP53	20668451	"Gene panel"	lung	lung_cancer_(all_histologies)	Wood-based
7157	TP53	20668451	"Gene panel"	pancreas	pancreatic_ductal_adenocarcinoma	Wood-based
7157	TP53	20668451	"Gene panel"	prostate	prostate_cancer	Wood-based
7157	TP53	20668451	"Gene panel"	ovary	ovarian_cancer	Wood-based
7157	TP53	24132290	WES	multiple	pan-cancer_adult	MuSiC
7157	TP53	26437031	"WGS-WES-Gene panel"	blood	T-cell_leukemia/lymphoma	MutSig
7157	TP53	26632267	"WES-gene panel"	bone	osteosarcoma	"Recurrence-based, IntOGen"
7157	TP53	22842228	WES	skin	melanoma	MuSiC
7157	TP53	26214590	WES	skin	melanoma	MutSig
7157	TP53	28064239	WES	blood	follicular_lymphoma	MuSiC
7157	TP53	25576899	"WES-gene panel"	thyroid	anaplastic_thyroid_carcinoma	"Recurrence-based, Literature-based"
7157	TP53	23415222	WES	blood	chronic_lymphocytic_leukemia	MutSig
7157	TP53	26466571	WES	blood	chronic_lymphocytic_leukemia	MutSig
7157	TP53	24390350	WES	multiple	pan-cancer_adult	MutSig
7157	TP53	23104009	WES	uterus	serous_endometrial_cancer	Recurrence-based
7157	TP53	28485815	WES	uterus	clear_cell_endometrial_cancer	Recurrence-based
7157	TP53	25240281	WES	peripheral_nervous_system	malignant_peripheral_nerve_sheath_tumour	Recurrence-based
7157	TP53	28027327	WES	breast	breast_cancer	MutSig
7157	TP53	25501392	WES	multiple	pan-cancer_adult	HOTNET2
7157	TP53	21822264	WES	hepatobiliary	hepatocellular_carcinoma	Recurrence-based
7157	TP53	24997986	WES	hepatobiliary	gallbladder_carcinoma	MutSig
7157	TP53	26503331	"WES-gene panel"	lung	lung_squamous_cell_carcinoma	MutSig
7157	TP53	28098136	WGS-WES	head_and_neck	nasopharyngeal_carcinoma	MutSig
7157	TP53	24686850	WES	esophagus	esophageal_squamous_carcinoma	MutSig
7157	TP53	24952746	WES	head_and_neck	nasopharyngeal_carcinoma	MutSig
7157	TP53	22327622	"Gene panel"	colorectal	colorectal_adenocarcinoma	Recurrence-based
7157	TP53	22327622	"Gene panel"	lung	non-small_cell_lung_cancer	Recurrence-based
7157	TP53	22510280	WES	lung	non-small_cell_lung_cancer	"Literature-based, Paper-specific"
7157	TP53	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
7157	TP53	23143597	WES	blood	Burkitt&#39;s_lymphoma	Recurrence-based
7157	TP53	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
7157	TP53	27063598	"WES-gene panel"	blood	acute_promyelocytic_leukemia	Recurrence-based
7157	TP53	28412734	WGS	hepatobiliary	hepatocellular_carcinoma	"Recurrence-based, Literature-based"
7157	TP53	26608593	WES	blood	diffuse_large_B-cell_lymphoma	MuSiC
7157	TP53	21796119	WES	blood	non-Hodgkin_lymphoma	Greenman-based
7157	TP53	26258846	WES	hepatobiliary	biliary_tract_cancer	MutSig
7157	TP53	22608084	WGS	breast	breast_cancer	Literature-based
7157	TP53	27135926	WGS	breast	breast_cancer	Paper-specific
7157	TP53	22561520	WES	hepatobiliary	cholangiocarcinoma	Recurrence-based
7157	TP53	18772396	WES	brain	glioblastoma	Wood-based
7157	TP53	21163964	WES	brain	medulloblastoma	Wood-based
7157	TP53	21804550	WES	blood	diffuse_large_B-cell_lymphoma	Paper-specific
7157	TP53	26017449	WGS	ovary	ovarian_serous_carcinoma	"MutSig, IntOGen"
7157	TP53	22941188	WES	lung	small_cell_lung_cancer	MuSiC
7157	TP53	27161491	"Gene panel"	breast	breast_cancer	Recurrence-based
7157	TP53	24974848	WES	thymus	thymic_carcinoma	Recurrence-based
7157	TP53	25743702	WGS-WES	adrenal_gland	adrenocortical_carcinoma	Recurrence-based
7157	TP53	26960396	"Gene panel"	breast	male_breast_cancer	MutSig
7157	TP53	22820256	WES	brain	medulloblastoma	MutSig
7157	TP53	27058444	WGS-WES	esophagus	esophageal_squamous_carcinoma	MutSig
7157	TP53	22158541	WES	blood	chronic_lymphocytic_leukemia	Recurrence-based
7157	TP53	29438696	WES	thymus	thymic_carcinoma	MutSig
7157	TP53	23143595	WGS-WES	blood	Burkitt&#39;s_lymphoma	Recurrence-based
7157	TP53	28988769	WES	bladder	bladder_cancer	MutSig
7157	TP53	22722829	WGS	brain	medulloblastoma	MuSiC
7157	TP53	26000489	WES	prostate	prostate_cancer	MutSig
7157	TP53	27313181	WES	stomach	mucinous_gastric_cancer	Recurrence-based
7157	TP53	22941189	WES	lung	small_cell_lung_cancer	Wood-based
7157	TP53	26154128	"WES-gene panel"	pancreas	pancreatic_ductal_adenocarcinoma	Recurrence-based
7157	TP53	25822088	WES	hepatobiliary	hepatocellular_carcinoma	MutSig
7157	TP53	22286061	WES	brain	glioblastoma	Recurrence-based
7157	TP53	22895193	WES	colorectal	colorectal_adenocarcinoma	Wood-based
